Metin,metin_lemmatized
ayet güzel çalışıyor. Parasına göre iyi diye düşünüyorum.,"['ayet', 'güzel', 'çalış', 'para', 'göre', 'iyi', 'düşün']"
"Makineden memnun kaldık , bir kaç arkadaşta tavsiyem üzerine aldı memnun kaldılar","['makine', 'memnun', 'kal', 'bir', 'kaç', 'arkadaş', 'tavsiye', 'üzerine', 'al', 'memnun', 'kal']"
ürün güzel fiyatına göre hakkını fazlasıyla veriyor. fakat ürün ile birlikte herhangi bi fatura gelmedi. e-fatura olarak da herhangi bi mail gelmedi bu durum hoş değil,"['ürün', 'güzel', 'fiyat', 'göre', 'hak', 'fazlasıyla', 'ver', 'fakat', 'ürün', 'birlikte', 'herhangi', '', 'fatura', 'gel', '', 'olarak', 'herhangi', '', 'mail', 'gel', 'durum', 'hoş', 'değil']"
ürün cok güzel tam istediğimiz gibi,"['ürün', '', 'güzel', 'tam', 'istedik']"
"Ürün iyi, ekstra bir iki tarak daha olsa mükemmel olurdu","['ürün', 'iyi', 'ekstra', 'bir', 'iki', 'tarak', 'ol', 'mükemmel', 'olur']"
birçok makineye göre daha kısa alıyor. Tek kusuru 1-2-3 numara başlıklar var sonrası için başlık yok. oda çok önemli değil.,"['birçok', 'makine', 'göre', 'kısa', 'al', 'tek', 'kusur', 'numara', 'başlık', 'var', 'sonra', 'başlık', 'yok', 'oda', 'önemli', 'değil']"
Ürünü fiyatına göre gayet kullanışlı tek sevemedigim şeyi tarak sayısı az olması. Sakal ve saç keserken rahatlıkla kullanabilirsiniz,"['ürün', 'fiyat', 'göre', 'gayet', 'kullanışlı', 'tek', '', 'şey', 'tarak', 'sayı', 'olma', 'sakal', 'saç', 'kes', 'rahatlık', 'kullanabil']"
Ehhh fena değilden ötesini diyemem,"['', 'fena', 'değil', 'öte', 'de']"
Bu ürünü kesinlikle uzun saçlarınızı saç telinizin uzunluğu 2-3 cm ise en az kesmek için kullanmayın. Bu makine tamamıyla ince işler için yapılmış. Sakal ve tüy kesimi gibi. Zaten kutudan çıkan tarakların büyüklüğü de saç kesimi için yeterli değiller.,"['ürün', 'kesinlik', 'uzun', 'saç', 'saç', 'tel', 'uzunluk', '', 'kesmek', 'kullan', 'makine', 'tamamıyla', 'ince', 'iş', 'yapıl', 'sakal', 'tüy', 'kesim', 'zaten', 'kutu', 'çıkan', 'tarak', 'büyüklük', 'saç', 'kesim', 'yeterli', 'değil']"
Saç kesimi yaptım ama bu fiyatına göre yine de iyi sayılır.sakal ve vucut kılları için daha ideal bir ürün.,"['saç', 'kesim', 'yap', 'fiyat', 'göre', 'yine', 'iyi', 'sayılırsakal', '', 'kıl', 'ideal', 'bir', 'ürün']"
Evet oğlumun traşı için aldım ama eşimde yararlanıyor,"['evet', 'oğul', '', 'al', 'eşim', 'yararlan']"
ürün gayet güzel bıçaklari gayet keskin bu fiyata göre de fazlasıyla iyi ama sakal icin ideal saç kesmeye almayin cok keser birde ağzına takılan başlıkların takılması biraz zor,"['ürün', 'gayet', 'güzel', '', 'gayet', 'keskin', 'fiyat', 'göre', 'fazlasıyla', 'iyi', 'sakal', '', 'ideal', 'saç', 'kes', '', '', 'kes', 'bir', 'ağız', 'takılan', 'başlık', 'takılma', 'biraz', 'zor']"
hassas kesim yapiyor. şarjı iyi gidiyor. 1-2-3 mm taraklari markasi cok bilindik urunlerin 2-3-4 mm civarina denk geliyor. ben normalde braun veya philipste 3mm kullanirken ayni uzunluk icin powertecte 2mmyi kullandim. taraklar hicbir sekilde batma yapmiyor. bicak da cekme yapmiyor.,"['hassas', 'kesim', '', 'şarj', 'iyi', 'git', '', '', '', '', 'bilindik', '', '', '', 'denk', 'gel', 'ben', 'normal', '', '', '', '', 'ayni', 'uzunluk', '', '', '', '', 'tarak', '', 'sekil', 'bat', '', '', '', '']"
Hızlı gönderi kaliteli ucuz ürün. Teşekkürler,"['hızlı', 'gönderi', 'kaliteli', 'ucuz', 'ürün', 'teşekkür']"
Basliklar cok kotu 3 numara tras olamazsiniz kesmiyor sadece 0 kesim sac ve sakal için uygun bunu baz alarak satin alabilirsinoz sadece 0 kesim iyi,"['', '', 'kot', 'numara', 'tras', '', 'kes', 'sade', 'kesim', 'sac', 'sakal', 'uygun', 'bun', 'baz', 'alarak', '', '', 'sade', 'kesim', 'iyi']"
Sakallar için ideal. Motoru kuvvetli.,"['sakal', 'ideal', 'motor', 'kuvvetli']"
"Genel olarak yorumlarsam mağaza kargo ürün vs herhangi sıkıntı olmadı , emeği geçenlere teşekkür ederim . Üründe gayet kullanışlı oda tamam .","['genel', 'olarak', 'yorum', 'mağaza', 'kargo', 'ürün', '', 'herhangi', 'sıkıntı', 'ol', 'emek', 'geçen', 'teşekkür', 'eder', 'ürün', 'gayet', 'kullanışlı', 'oda', 'tamam']"
Ürün gercekten fiyatını hak eden bir ürün ve oldukca küçük olması ve sesinin az çıkması mükemmel saç tıraşı için alacaksanız önerim almayınız bu makine sakal ve ense traşı için birebir...,"['ürün', '', 'fiyat', 'hak', 'ede', 'bir', 'ürün', '', 'küçük', 'olma', 'ses', 'çıkma', 'mükemmel', 'saç', 'tıraş', 'alacak', 'öneri', 'al', 'makine', 'sakal', 'ense', '', 'birebir']"
Ya siz ne biçim insanlarsınız ayıplı mal satıyorsunuz niye geri almıyorsunuz,"['biçim', 'insan', 'ayıplı', 'mal', 'sat', 'geri', 'al']"
Tasarımı güzel pratik kullanışlı. Yalnız taraklar ile verimli kullanım sağlamıyor.Yine de fiyatına göre oldukça başarılı.,"['tasarım', 'güzel', 'pratik', 'kullanışlı', 'yalnız', 'tarak', 'verimli', 'kullanım', '', 'fiyat', 'göre', 'oldukça', 'başarılı']"
ürün çok iyi yağ gibi akıyor parasını sonuna kadar hakkediyor hızlı kargo hem ucuz hemde iş görüyor yüksek meblağ bağlamanıza gerek yok sakal tıraş ı için aldım harika ürün,"['ürün', 'iyi', 'yağ', 'ak', 'para', 'son', 'kadar', 'hakket', 'hızlı', 'kargo', 'ucuz', 'he', 'iş', 'gör', 'yüksek', 'meblağ', 'bağlama', 'gerek', 'yok', 'sakal', 'tıraş', '', 'al', 'harika', 'ürün']"
ürünü aldım. kullandım ..sakal cizmek ve kesmek icin cok güzel bir cihaz..aparatsiz kullandığınızda bir günlük sakal gibi kesebiliyor.cok güçlü bir cihaz sakalınızı asla çekmiyor. bu paraya alınabilecek en iyi sakal kesim cihazıdır...ama seç kesimi için uygun değil alan arkadaşlar bunu göz önünde bulundursunlar.,"['ürün', 'al', 'kullan', 'sakal', '', 'kesmek', '', '', 'güzel', 'bir', '', 'kullandık', 'bir', 'günlük', 'sakal', '', 'güçlü', 'bir', 'cihaz', 'sakalı', 'asla', 'çek', 'para', 'alınabil', 'iyi', 'sakal', 'kesim', '', 'seç', 'kesim', 'uygun', 'değil', 'alan', 'arkadaş', 'bun', 'göz', 'ön', 'bulundur']"
Ürünü beğendim ama yurtiçi kargo için aynı şeyi söyleyemem.,"['ürün', 'beğen', '', 'kargo', 'aynı', 'şey', 'söyle']"
Pişman etmeyecek bir makine,"['pişman', 'et', 'bir', 'makine']"
Begendim is görürr,"['', 'is', '']"
on numara on yildiz,"['on', 'numara', 'on', '']"
evet çok harika saglam,"['evet', 'harika', '']"
"Ayni markanin saç kurutmasını da kullanıyorum. Yerli,kaliteli ve ucuz.Tel şarzı ayrı bir güzel olmuş.Şarzdaykende kullanılabiliyor. Teşekkürler","['ayni', '', 'saç', 'kurutma', 'kullan', '', '', '', 'ayrı', 'bir', 'güzel', '', 'kullanılabil', 'teşekkür']"
"evet...daha öncede bir tane almıştım, ne geleceğini biliyordum..","['', 'önce', 'bir', 'tane', 'al', 'gelecek', 'bile']"
Babamı tras etmek için aldım berberler acilana kadar bi kac kez tras etse yeter duye dusunuyordum ama urun cok guzel uzun yillar kullanacagim kalitede çok memnunum,"['baba', 'tras', 'etmek', 'al', 'berber', '', 'kadar', '', '', 'tras', 'et', 'yeter', '', '', 'ur', '', '', 'uzun', '', '', 'kalite', 'memnun']"
Asiri uzayan saclarimi yaklasik yarim saatte guzelce kesti. Ev kullanimi icin ideal. Sac kesmiyor demek haksizlik olur birkac kere tekrar ile guzel kesiyor. Ayrica 3 mm tarak 1 numara tras demek. 3 mm yi 3 numara tras diye dusunmeyin. Ben o hataya dustum 3 numara tras diye olduk 1 numara cikti. 3 mm=1 numara 6mm=2 numara 9mm=3 numara aklınızda bulunsun,"['', 'uzayan', '', '', 'yâr', 'saat', '', 'kes', 'ev', '', '', 'ideal', 'sac', 'kes', 'demek', 'hâksizlik', 'olur', '', 'kere', 'tekrar', '', 'kes', '', '', 'tarak', 'numara', 'tras', 'demek', '', '', 'numara', 'tras', '', 'ben', 'hata', '', 'numara', 'tras', 'ol', 'numara', '', '', 'numara', '', 'numara', '', 'numara', 'aklı', 'bulun']"
Ürünü denemedim ama çalışması güçlü kutusundada aslında ense sakal yazıyor yinede bir şekilde saç kesim işinizi görür. Kutu içeriside düzenliydi. Kargoya laf edenler bu satıcının bir suçu değil benim kargom 1 günde istanbula geldi ve ertesi gün teslim edildi.,"['ürün', 'dene', 'çalışma', 'güçlü', '', 'ense', 'sakal', 'yaz', 'yine', 'bir', 'şekil', 'saç', 'kesim', 'iş', 'gör', 'kutu', '', 'düzenli', 'kargo', 'laf', 'edenler', 'satıcı', 'bir', 'suç', 'değil', 'ben', 'kargo', 'günde', 'İstanbul', 'gel', 'ertesi', 'gün', 'teslim', 'edil']"
"ürün gerçekten yeterli, iyi bir ürün, boşu boşuna diğer ürünlere fazla para vermeyin","['ürün', 'gerçekten', 'yeterli', 'iyi', 'bir', 'ürün', 'boş', 'boşuna', 'diğer', 'ürün', 'fazla', 'para', 'ver']"
Ben ürünü daha önce berberde gördüm ve kullandım gerçekten jiletle nerdeyse aynı alıyor,"['ben', 'ürün', 'ön', 'berber', 'gör', 'kullan', 'gerçekten', 'jilet', '', 'aynı', 'al']"
"Sakal ve ense traşı için ideal, 3 tarak olduğunu bile bile aldım fakat saç traşı için çok uygun değil, taraklardan dolayı yetersiz. Eğer saçınızı 3 numara yapacağım derseniz gayet uygun, eğer yanları kesip kat yapmak isterseniz bu cihazla yapamazsınız, ben yapamadığım için saçın hepsini 3 numarayla aldım.","['sakal', 'ense', '', 'ideal', 'tarak', 'olduk', 'bile', 'bile', 'al', 'fakat', 'saç', '', 'uygun', 'değil', 'tarak', 'dolayı', 'yetersiz', 'saçı', 'numara', 'yap', 'der', 'gayet', 'uygun', 'yan', 'kesip', 'kat', 'yapmak', 'iste', 'cihaz', 'yap', 'ben', 'yapamadık', 'saçı', 'hepsi', 'numara', 'al']"
Ürün açıklamalarda anlatıldığı gibiydi,"['ürün', 'açıklama', 'anlatıldık', 'gibi']"
saç traşı için hiç uygun değil arkadaşlar saçlar rezil oldu,"['saç', '', 'uygun', 'değil', 'arkadaş', 'saç', 'rezil', 'oldu']"
çok güzel tavsiye edrim,"['güzel', 'tavsiye', '']"
"kısa saç sakal sevdiğim için tam benlik makine yorumlarda saçı taraklarının küçük numara olduğu için kısa kestiğini yazmış alan arkadaşlar bu nedenle tercih etme sebebim oldu, bin tl civarı makinelere de baktım hiç gerek yok fazla para vermenize bu makine işinizi fazlasıyla görür","['kısa', 'saç', 'sakal', 'sevdik', 'tam', 'benlik', 'makine', 'yorum', 'saçı', 'tarak', 'küçük', 'numara', 'olduk', 'kısa', 'kestik', 'yaz', 'alan', 'arkadaş', 'neden', 'tercih', 'et', 'sebep', 'oldu', 'bin', '', 'civar', 'makine', 'bak', 'gerek', 'yok', 'fazla', 'para', 'verme', 'makine', 'iş', 'fazlasıyla', 'gör']"
Hızlı Kargo ve güzel ürün teşekkür ederiz.,"['hızlı', 'kargo', 'güzel', 'ürün', 'teşekkür', 'eder']"
Ürün güzel fakat kargodan dolayı sarsılmış ve paketi ezilmiş.,"['ürün', 'güzel', 'fakat', 'kargo', 'dolayı', 'sarsıl', 'paket', 'ezilmiş']"
"Teşekkürler ürün bence de çok güzel, en avantajlı yönü şarjlı ve kablolu kullanımı olması,","['teşekkür', 'ürün', 'ben', 'güzel', 'avantajlı', 'yön', 'şarjlı', 'kablolu', 'kullanım', 'olma']"
Açar açmaz hemen ilk işim sakal tıraşı oldum. 10 günlük sakalım vardı 5 dk da sıfır olmasada hallettim. Ürünü beğendim,"['aç', 'açmaz', 'hemen', 'ilk', 'iş', 'sakal', 'tıraş', 'oldu', 'günlük', 'sakalı', 'var', '', 'sıfır', '', 'hallet', 'ürün', 'beğen']"
Sakali harika aliyor.Saçta denemedim.Ürün sorunsuz pahali markalara gerek yok bilinen marka zaten,"['', 'harika', '', '', 'sorunsuz', '', 'marka', 'gerek', 'yok', 'bilinen', 'marka', 'zaten']"
"ben saç tıraşı için almıştım..traş yaptı fakat bı saatte uzun saçı ancak kesebildim..bu ürün sadece ense temizler, sakalları alır.saçlarınız için kesinlikle almayın derim..iadeyle uğraşmak istemiyorum..ne kadar para o kadar köfte","['ben', 'saç', 'tıraş', '', 'yap', 'fakat', '', 'saat', 'uzun', 'saçı', 'ancak', '', 'ürün', 'sade', 'ense', 'temiz', 'sakal', '', 'kesinlik', 'al', '', 'uğraşmak', '', 'kadar', 'para', 'kadar', 'köfte']"
Ürün çok güzel istediğim gibi. Ama yurtiçi kargo tam bi rezalet! Hevesle aldığın üründen tiksindiriyorlar insanı. Yurtiçi kargo pişmanlıktır!,"['ürün', 'güzel', 'istedik', '', 'kargo', 'tam', '', 'rezalet', 'heves', 'aldık', 'ürün', 'tiksindir', 'insan', '', 'kargo', 'pişmanlık']"
beğenmedim 5 kuruş etmez sakal için idare 100 daha koyup braun alın kaliteli yapıyorlar,"['beğen', 'kuruş', 'et', 'sakal', 'idare', 'koyup', '', 'al', 'kaliteli', 'yap']"
"Ürün elime ulaştı direkt kuyu açar açmaz taraklarına baktım. Çünkü hem saçımı hemde sakalımı traş ederim diye düşünürken tahminimden daha kısa taraklar çıktı. En büyüğü 3mm. Ürün açıklamasında da detayları yazmıyor, 3 adet tarak yazıyor. Benim işime yaramayacağı için işyerinde ki arkadaşım ürün paketini açar açmaz bana uygun dedi. Ona verdim. Çalıştırdı sıkıntı yok şarjıda iyi dedi. Alacaklara duyurulur.","['ürün', 'elim', 'ulaş', 'direkt', 'kuyu', 'aç', 'açmaz', 'tarak', 'bak', 'saçı', 'he', 'sakalı', '', 'eder', 'düşün', 'tahminî', 'kısa', 'tarak', 'çıktı', 'büyük', '', 'ürün', 'açıklama', 'detay', 'yaz', 'adet', 'tarak', 'yaz', 'ben', 'iş', 'yaramayacak', '', 'arkadaş', 'ürün', 'paket', 'aç', 'açmaz', 'bana', 'uygun', 'de', 'ona', 'verdi', 'çalıştır', 'sıkıntı', 'yok', '', 'iyi', 'de', 'alacak', 'duyurul']"
bu makine saç tıraşı için uygun değil en büyük tarağı 3mm yani 3 numara sakal ve ense tıraşı için güzel,"['makine', 'saç', 'tıraş', 'uygun', 'değil', 'büyük', 'tarak', '', 'numara', 'sakal', 'ense', 'tıraş', 'güzel']"
Ürün çok iyi hem saç hem sakal kullandım elimdeki daha pahalı ve tanınmış başka bir markadan bin kat daha iyi kesinlikle hiç düşünmeden alın. Bu paraya bedava.,"['ürün', 'iyi', 'saç', 'sakal', 'kullan', 'elim', 'pahalı', 'tanınmış', 'başka', 'bir', 'marka', 'bin', 'kat', 'iyi', 'kesinlik', 'düşünmeden', 'al', 'para', 'bedava']"
"yeni aldım ilk ufak caplida olsa test sürüşü yapabildim. kaba bir ürün değil, fiyat performans olarak ilk deneyim oldukça memnun edici.","['yeni', 'al', 'ilk', 'ufak', '', 'ol', 'test', 'sürüş', 'yapabil', 'kaba', 'bir', 'ürün', 'değil', 'fiyat', 'performans', 'olarak', 'ilk', 'deneyim', 'oldukça', 'memnun', 'edici']"
"Fiyat performansa göre harika bir ürün.İlk saç tıraşımızı yaptık.Güzel ,takılmadan kesti.","['fiyat', 'performans', 'göre', 'harika', 'bir', '', 'saç', 'tıraş', '', 'takılmadan', 'kes']"
Urun anlatıldıgı için gibi ama kargo gec geldi olsun bu ara kargolar yoğun arkadaslar sabreden dermiş muradına ermiş hayırlı ramazanlar,"['ur', '', 'kargo', '', 'gel', 'ol', 'ara', 'kargo', 'yoğun', '', 'sabreden', 'der', 'murat', 'ermiş', 'hayırlı', 'ramazan']"
evet çok beğendim,"['evet', 'beğen']"
İstediğim işi görmedi.,"['istedik', 'iş', 'gör']"
Ürünü begendim is gören bi makina ilk kez kendi kendimi traş ettim 30 dk icinde hallettim gayet iyi kesiyor küçük şık bir makina . Verilen parayi hak ediyor . Aparatlari kutu icerisi dandik onlarda cok önemli degil,"['ürün', '', 'is', 'göre', '', '', 'ilk', 'kendi', 'kendi', '', 'et', '', '', 'hallet', 'gayet', 'iyi', 'kes', 'küçük', 'şık', 'bir', '', 'verilen', '', 'hak', 'et', '', 'kutu', '', 'dandik', 'onlar', '', 'önemli', '']"
İçinde 3 tarak var 3 numara bile asker traşı yapıyor yedek tarağı alamıyorsunuz saç İÇİN ASLA !,"['içinde', 'tarak', 'var', 'numara', 'bile', 'asker', '', 'yap', 'yedek', 'tarak', 'al', 'saç', 'asla']"
ense ve sakalar için biçilmiş kaftan,"['ense', 'saka', 'biçil', 'kaftan']"
Ürün çok kullanışlı. Sıfıra yakın traş sağlıyor. Gerçekten çok kullanışlı. Typ-B soket ile şarj edilebilir olması ayrı bir güzel. Uzun vadede ne kadar dayanıklıdır bilemem ama şimdilik herşey yolunda görülüyor.,"['ürün', 'kullanışlı', 'sıfır', 'yak', '', 'sağlı', 'gerçekten', 'kullanışlı', '', 'soket', 'şarj', 'edilebil', 'olma', 'ayrı', 'bir', 'güzel', 'uzun', 'vadet', 'kadar', 'dayanıklı', 'bile', 'şimdilik', '', 'yol', 'görülü']"
Makina güzel iyi sakal için sıfıra yakın alıyor tavsiye edebilirim.,"['', 'güzel', 'iyi', 'sakal', 'sıfır', 'yak', 'al', 'tavsiye', 'edebil']"
bıçakları çok kücük sakal ense favori gibi yerlerde kullanılabilir. tarakları bile direk 3 numaradan başlıyor saç KESMEZ...,"['bıçak', '', 'sakal', 'ense', 'favori', 'yer', 'kullanılabil', 'tarak', 'bile', 'direk', 'numara', 'başlı', 'saç', 'kes']"
"makina özellikle sakal traşı için çok güzel,kaliteli ama sac traşı için düşünenler için küçük olur.","['', 'özellik', 'sakal', '', '', 'sac', '', 'düşünen', 'küçük', 'olur']"
gayet güzel ürün aynı markanın saç kurutma makinasını da kullanıyorum çok memnunum,"['gayet', 'güzel', 'ürün', 'aynı', 'marka', 'saç', 'kurut', '', 'kullan', 'memnun']"
Almayı düşünen arkadaşlar bir dakika bile vakit kaybetmeden alsın derim ürün gerçekten süper çok kaliteli hemen alın malûm bu ara fiyatlar çok çabuk yükseliyor kaçırmayın. Mağazayı da öneririm hiç sıkıntı yaşamadım iletişim olsun kargo olsun tavsiye ederim,"['alma', 'düşünen', 'arkadaş', 'bir', 'dakika', 'bile', 'vakit', 'kaybetmeden', 'al', 'deri', 'ürün', 'gerçekten', 'süper', 'kaliteli', 'hemen', 'al', '', 'ara', 'fiyat', 'çabuk', 'yüksel', 'kaçır', 'mağaza', 'öner', 'sıkıntı', 'yaşa', 'iletiş', 'ol', 'kargo', 'ol', 'tavsiye', 'eder']"
Ürün çok iyi. Moser cromini den de iyi,"['ürün', 'iyi', '', '', 'den', 'iyi']"
Sakal tıraşı için ideal ama taraklarla saç kesmede biraz zorluyor. Taraksız saç keserim derseniz on numara. Yani her türlü iş görür tavsiye ederim,"['sakal', 'tıraş', 'ideal', 'tarak', 'saç', 'kesme', 'biraz', 'zorlu', 'taraksız', 'saç', 'kes', 'der', 'on', 'numara', 'türlü', 'iş', 'gör', 'tavsiye', 'eder']"
"Pahalı, marka ürün almaya gerek yok, bu alet canavar gibi çalışıyor. Gayet güzel kesiyor.","['pahalı', 'marka', 'ürün', 'al', 'gerek', 'yok', 'alet', 'canavar', 'çalış', 'gayet', 'güzel', 'kes']"
ürün anlatıldığı gibiydi.kesimi güzel yolmuyor.parasını fazlasıyla hak ediyor.ancak kılavuz tarak sayısı daha fazla olsaydı daha iyi olurdu.kısa sac için ideal.sakal için ise yeterli.tabi jilet gibi olmuyor.,"['ürün', 'anlatıldık', '', 'güzel', '', 'fazlasıyla', 'hak', '', 'kılavuz', 'tarak', 'sayı', 'fazla', 'ol', 'iyi', '', 'sac', '', '', 'jilet', 'ol']"
Ürün güzel küçük olmasına rağmen 2 çocuğun saçını kesebildim kendimde traş oldum baya kısa kesiyor sakal traşı için alınabilir fakat saç için uygun değil ona göre alın ürün 3 günde elime ulaştı,"['ürün', 'güzel', 'küçük', 'olma', 'rağmen', 'çocuk', 'saçı', 'kesebil', 'kendi', '', 'oldu', 'bay', 'kısa', 'kes', 'sakal', '', 'alınabil', 'fakat', 'saç', 'uygun', 'değil', 'ona', 'göre', 'al', 'ürün', 'günde', 'elim', 'ulaş']"
makine güzel uçları yersiz devamı olsaydı saç tıraşı kolay yapılırdı yinede güzel kullanışlı,"['makine', 'güzel', 'uç', 'yersiz', 'devam', 'ol', 'saç', 'tıraş', 'kolay', 'yapıl', 'yine', 'güzel', 'kullanışlı']"
"POVERTEC TR 658 Traş makinesi sakal tıraşı için ideal, ama saç için pek uygun değil çünkü yeterli başlık tarakları yok enseyi filan idare eder, güzel şık bir makine herkese tavsiye ediyorum.","['', '', '', 'makine', 'sakal', 'tıraş', 'ideal', 'saç', 'pek', 'uygun', 'değil', 'yeterli', 'başlık', 'tarak', 'yok', 'ense', 'filan', 'idare', 'eder', 'güzel', 'şık', 'bir', 'makine', 'herkes', 'tavsiye', 'et']"
Beklediğimin üstünde bir ürün oğullarımın ve benim saçlarımı ki uzundur hepimizin bir traş makinasın olmasına rağmen hiç takılmadan süper kesti,"['bekledik', 'üstün', 'bir', 'ürün', 'oğul', 'ben', 'saç', 'uzun', 'hep', 'bir', '', '', 'olma', 'rağmen', 'takılmadan', 'süper', 'kes']"
Ürünü yorumları okuyarak aldım. ilk traşım gayet güzel di. memnun kaldım. alacak kişilere tavsiye ederim fiyat performans ürünü gayet güzel makine. teşekkürler.,"['ürün', 'yorum', 'okuyarak', 'al', 'ilk', '', 'gayet', 'güzel', '', 'memnun', 'kal', 'alacak', 'kişi', 'tavsiye', 'eder', 'fiyat', 'performans', 'ürün', 'gayet', 'güzel', 'makine', 'teşekkür']"
